metro,order_ids,test_range,composition_type,scenario_type,excluded_eps_codename,scenario_label,group,n,denom,pct,baseline_pct,delta_pp,full_pool_n,removed_n,removed_pct,remaining_pool_n
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago",First-gen,2743,10677,25.69073709843589,30.466493356441365,-4.775756258005476,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago",Not first-gen,7934,10677,74.30926290156411,69.53350664355864,4.775756258005472,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs",First-gen,3330,9793,34.003880322679464,30.466493356441365,3.537386966238099,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs",Not first-gen,6463,9793,65.99611967732054,69.53350664355864,-3.5373869662381026,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs",First-gen,3347,11550,28.978354978354982,30.466493356441365,-1.4881383780863828,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs",Not first-gen,8203,11550,71.02164502164501,69.53350664355864,1.4881383780863757,14202,2340,16.476552598225602,11862
dallas,448427,PSAT score 1190 - 1260,race,all,All Geomarkets,All Geomarkets,"Asian, non-Hispanic",610,3842,15.877147319104633,15.877147319104633,0,3956,0,0,3956
dallas,448427,PSAT score 1190 - 1260,race,all,All Geomarkets,All Geomarkets,"Black, non-Hispanic",223,3842,5.804268610098907,5.804268610098907,0,3956,0,0,3956
dallas,448427,PSAT score 1190 - 1260,race,all,All Geomarkets,All Geomarkets,Hispanic,704,3842,18.323789692868296,18.323789692868296,0,3956,0,0,3956
dallas,448427,PSAT score 1190 - 1260,race,all,All Geomarkets,All Geomarkets,"Two+, non-Hispanic",202,3842,5.25767829255596,5.25767829255596,0,3956,0,0,3956
dallas,448427,PSAT score 1190 - 1260,race,all,All Geomarkets,All Geomarkets,"White, non-Hispanic",2103,3842,54.73711608537221,54.73711608537221,0,3956,0,0,3956
dallas,448427,PSAT score 1190 - 1260,race,exclusion,"TX19, City of Dallas","Excluding TX19, City of Dallas","Asian, non-Hispanic",576,3369,17.09706144256456,15.877147319104633,1.219914123459926,3956,485,12.259858442871588,3471
dallas,448427,PSAT score 1190 - 1260,race,exclusion,"TX19, City of Dallas","Excluding TX19, City of Dallas","Black, non-Hispanic",181,3369,5.37251409913921,5.804268610098907,-0.4317545109596965,3956,485,12.259858442871588,3471
